NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,1,1,0,0,5,1,0,0,11,2,0.142857142857143,12,0,0,0,5,5,2,2,34,10,1,1,67,0.5,0,0,0,0,0,0,0,1,0,1,0,0.166666666666667,0,0.5,0,0.166666666666667,0,0.5,0
0,0,1,2,0,0,11,1,1,1,19,2,0.058823529411765,32,0,0,0,6,15,2,3,95,28,3,10,155,0.5,0,0,0,0.5,0,0,0,1,0,1,0,0.166666666666667,0,0,0,1,0,0,0
0,0,3,4,0,0,15,3,1,1,23,4,0.444444444444444,5,0,1,0,4,5,0,0,64,9,1,2,108,1,0.5,0,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,1,0.333333333333333,0.5,0.5,0.333333333333333,0.333333333333333,0.5,0,0.333333333333333,0
0,0,1,1,0,0,5,0,0,1,7,2,0.181818181818182,9,0,0,0,6,7,1,0,30,11,1,1,89,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,0.333333333333333,0,0.157894736842105,0,0.333333333333333,0
0,0,4,4,0,0,20,9,1,0,104,4,0.4,6,0,0,0,3,4,1,0,17,5,0,1,51,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,5,1,0,0,7,2,0.090909090909091,20,0,0,0,3,13,3,1,62,19,1,6,89,0.333333333333333,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.272727272727273,0.057142857142857,0,1
0,0,1,1,0,0,4,1,1,0,6,2,0.054054054054054,35,0,0,0,8,23,4,3,105,34,6,9,162,0.5,0,0,0,0.5,0,0,0,1,0,1,0,0.333333333333333,0,0.2,0,0.090909090909091,0.03921568627451,0,1
0,0,4,5,0,0,22,5,1,1,36,6,0.6,4,0,1,0,4,3,0,0,46,7,1,2,83,1,0,0.666666666666667,0,0.5,0,0.333333333333333,0,1,0.333333333333333,1,0.666666666666667,0.6,0.5,0.333333333333333,0.333333333333333,0.75,0,1,0
0,0,1,1,0,0,5,1,0,0,11,2,0.166666666666667,10,0,0,0,8,6,1,1,38,14,2,1,141,0.333333333333333,0,0.25,0,0,0,0,0,1,0.25,1,0.25,0.142857142857143,0,1,0,0.121212121212121,0,1,0
0,0,1,1,0,0,4,2,1,0,7,2,0.027777777777778,70,0,0,0,26,43,5,4,202,63,15,18,364,1,0,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0,1,0.333333333333333,1,0.333333333333333,0.125,0,0.666666666666667,0,0.027777777777778,0,0.666666666666667,0
0,0,0,2,0,1,6,3,0,0,18,2,0.153846153846154,11,0,0,0,2,4,0,2,31,13,1,5,89,0.5,0.333333333333333,0.2,0.4,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0.333333333333333,0,0.6,0
0,0,5,2,0,0,28,6,4,2,44,3,0.125,21,0,0,0,9,12,0,0,66,24,3,9,160,1,0.5,0.1,0.2,1,0.333333333333333,0.1,0.2,1,0.1,1,0.1,1,0,0.1,0,0.416666666666667,0.166666666666667,0.5,0.5
0,0,0,1,0,0,2,1,0,0,3,2,0.05,38,0,0,0,11,22,5,0,137,45,6,13,308,0.333333333333333,0,0.3,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0.085714285714286,0,0.6,0
0,0,1,1,0,0,4,2,1,0,7,2,0.052631578947369,36,0,0,0,10,27,4,2,109,32,7,10,183,1,0,0,0,0.5,0,0,0,1,0,1,0,0.5,0,0,0,0.08,0.047169811320755,0,1
0,0,8,20,2,2,91,30,8,7,151,27,0.710526315789474,11,0,0,0,3,4,2,0,24,4,0,3,28,1,1,0,0,1,0,0,0,1,0,1,0,1,0.714285714285714,0,0.2,1,0.786407766990291,0,1
0,0,1,3,1,1,12,4,1,0,14,5,0.142857142857143,30,0,0,0,7,27,2,0,98,29,3,11,182,1,0.5,0,0,1,0,0,0,1,0,1,0,0.25,0,0.2,0,0.375,0,0,0
